vehicle_id,track_id,iframe,lane,frame_start,frame_end,speed_gt
91.0,,5271.0,2.0,5271.0,5311.0,50.71
92.0,1474.0,5302.0,1.0,5302.0,5342.0,53.02
93.0,1481.0,5344.0,3.0,5344.0,5384.0,47.7
94.0,1491.0,5361.0,1.0,5361.0,5401.0,52.97
95.0,1498.0,5375.0,2.0,5375.0,5415.0,51.07
96.0,1497.0,5377.0,3.0,5377.0,5417.0,47.98
97.0,1513.0,5426.0,3.0,5426.0,5466.0,47.74
98.0,1530.0,5428.0,1.0,5428.0,5468.0,53.59
99.0,1533.0,5430.0,2.0,5430.0,5470.0,54.07
100.0,1550.0,5519.0,1.0,5519.0,5559.0,49.24
101.0,1552.0,5528.0,2.0,5528.0,5568.0,55.71
102.0,1554.0,5532.0,3.0,5532.0,5572.0,50.88
103.0,1568.0,5584.0,2.0,5584.0,5624.0,51.52
104.0,1572.0,5615.0,2.0,5615.0,5655.0,48.9
105.0,1578.0,5647.0,1.0,5647.0,5687.0,52.97
106.0,1583.0,5711.0,1.0,5711.0,5751.0,49.97
107.0,1586.0,5738.0,2.0,5738.0,5778.0,54.33
108.0,1589.0,5754.0,3.0,5754.0,5794.0,49.79
109.0,1591.0,5760.0,1.0,5760.0,5800.0,48.42
110.0,1598.0,5914.0,3.0,5914.0,5954.0,53.69
